model-1585316692, 1585316693.502, 0.27, 0.7307,0.27, 0.7321
model-1585316692, 1585316693.732, 0.19, 0.7334,0.21, 0.731
model-1585316692, 1585316693.905, 0.23, 0.7311,0.24, 0.7308
model-1585316692, 1585316694.09, 0.33, 0.7271,0.29, 0.7244
model-1585316692, 1585316694.255, 0.29, 0.7253,0.27, 0.726
model-1585316692, 1585316694.434, 0.37, 0.7199,0.29, 0.7249
model-1585316692, 1585316694.603, 0.29, 0.7235,0.29, 0.721
model-1585316692, 1585316694.786, 0.4, 0.7191,0.46, 0.7109
model-1585316692, 1585316694.957, 0.29, 0.7221,0.3, 0.7208
model-1585316692, 1585316695.135, 0.35, 0.7194,0.45, 0.7119
model-1585316692, 1585316695.313, 0.35, 0.7204,0.42, 0.7133
model-1585316692, 1585316695.481, 0.33, 0.7222,0.38, 0.7159
model-1585316692, 1585316695.654, 0.36, 0.7175,0.43, 0.7115
model-1585316692, 1585316695.823, 0.38, 0.7163,0.35, 0.7172
model-1585316692, 1585316695.997, 0.37, 0.7151,0.33, 0.7168
model-1585316692, 1585316696.168, 0.36, 0.7134,0.47, 0.7037
model-1585316692, 1585316696.361, 0.44, 0.7091,0.54, 0.7072
model-1585316692, 1585316696.537, 0.51, 0.7031,0.48, 0.7073
model-1585316692, 1585316696.706, 0.28, 0.7198,0.52, 0.7028
model-1585316692, 1585316696.874, 0.49, 0.707,0.49, 0.7086
model-1585316692, 1585316697.079, 0.63, 0.6982,0.45, 0.7051
model-1585316692, 1585316697.254, 0.46, 0.7065,0.54, 0.7062
model-1585316692, 1585316697.422, 0.54, 0.7017,0.57, 0.7009
model-1585316692, 1585316697.588, 0.59, 0.6994,0.53, 0.7024
model-1585316692, 1585316697.772, 0.62, 0.696,0.55, 0.6966
model-1585316692, 1585316697.939, 0.61, 0.6951,0.59, 0.6985
model-1585316692, 1585316698.104, 0.53, 0.7026,0.59, 0.6937
model-1585316692, 1585316698.268, 0.63, 0.6933,0.58, 0.6982
model-1585316692, 1585316698.432, 0.61, 0.6949,0.55, 0.6988
model-1585316692, 1585316698.59, 0.66, 0.6906,0.68, 0.6886
model-1585316692, 1585316698.755, 0.52, 0.701,0.58, 0.6969
model-1585316692, 1585316698.917, 0.54, 0.7018,0.48, 0.7084
model-1585316692, 1585316699.087, 0.53, 0.7021,0.57, 0.6984
model-1585316692, 1585316699.262, 0.57, 0.6967,0.56, 0.6988
model-1585316692, 1585316699.446, 0.53, 0.7002,0.6, 0.694
model-1585316692, 1585316699.615, 0.61, 0.693,0.61, 0.6937
model-1585316692, 1585316699.781, 0.72, 0.6846,0.63, 0.6927
model-1585316692, 1585316699.952, 0.65, 0.691,0.6, 0.6936
