model-1585419085, 1585419102.083, 0.6, 43.12
model-1585419085, 1585419110.248, 0.5, 68.99
model-1585419085, 1585419118.167, 0.53, 63.03
model-1585419085, 1585419133.912, 0.65, 47.27
model-1585419085, 1585419148.636, 0.72, 37.82
model-1585419085, 1585419164.1, 0.77, 31.54
model-1585419085, 1585419179.491, 0.8, 27.03
model-1585419085, 1585419195.497, 0.82, 23.65
model-1585419085, 1585419203.469, 0.8, 27.5
model-1585419085, 1585419211.183, 0.8, 25.63
model-1585419085, 1585419218.845, 0.8, 23.68
model-1585419085, 1585419226.653, 0.8, 23.56
model-1585419085, 1585419234.547, 0.82, 21.75
model-1585419085, 1585419242.241, 0.8, 23.14
model-1585419085, 1585419250.27, 0.81, 21.6
model-1585419085, 1585419258.183, 0.81, 20.4
model-1585419085, 1585419266.262, 0.81, 19.33
model-1585419085, 1585419274.371, 0.82, 18.25
model-1585419085, 1585419282.606, 0.82, 19.69
model-1585419085, 1585419298.231, 0.83, 18.71
model-1585419085, 1585419313.842, 0.84, 17.82
model-1585419085, 1585419328.759, 0.85, 17.01
model-1585419085, 1585419336.727, 0.84, 16.73
model-1585419085, 1585419353.222, 0.85, 16.04
model-1585419085, 1585419361.354, 0.85, 15.88
model-1585419085, 1585419376.111, 0.85, 15.27
model-1585419085, 1585419392.008, 0.86, 14.71
model-1585419085, 1585419407.839, 0.86, 14.18
model-1585419085, 1585419425.089, 0.87, 13.69
model-1585419085, 1585419445.921, 0.87, 13.24
model-1585419085, 1585419468.848, 0.88, 12.81
model-1585419085, 1585419486.518, 0.88, 12.41
model-1585419085, 1585419502.021, 0.88, 12.03
model-1585419085, 1585419510.136, 0.88, 12.08
model-1585419085, 1585419525.902, 0.89, 11.74
model-1585419085, 1585419533.996, 0.88, 11.67
model-1585419085, 1585419542.257, 0.88, 13.0
model-1585419085, 1585419550.782, 0.88, 12.66
model-1585419085, 1585419560.868, 0.88, 12.41
model-1585419085, 1585419570.609, 0.88, 12.1
model-1585419085, 1585419578.871, 0.88, 11.84
model-1585419085, 1585419586.911, 0.88, 11.55
model-1585419085, 1585419595.113, 0.88, 11.29
model-1585419085, 1585419610.215, 0.89, 11.03
model-1585419085, 1585419625.511, 0.89, 10.78
model-1585419085, 1585419641.451, 0.89, 10.55
model-1585419085, 1585419656.556, 0.89, 10.32
model-1585419085, 1585419672.623, 0.9, 10.11
model-1585419085, 1585419687.82, 0.9, 9.9
model-1585419085, 1585419696.017, 0.9, 9.73
model-1585419085, 1585419712.617, 0.9, 9.54
model-1585419085, 1585419720.555, 0.9, 9.56
model-1585419085, 1585419735.548, 0.9, 9.38
model-1585419085, 1585419751.088, 0.9, 9.2
model-1585419085, 1585419769.356, 0.9, 9.04
model-1585419085, 1585419785.128, 0.9, 8.88
model-1585419085, 1585419799.944, 0.91, 8.72
model-1585419085, 1585419815.682, 0.91, 8.57
model-1585419085, 1585419823.365, 0.91, 8.82
model-1585419085, 1585419831.31, 0.91, 8.67
model-1585419085, 1585419845.936, 0.91, 8.53
model-1585419085, 1585419853.745, 0.91, 9.24
model-1585419085, 1585419861.52, 0.91, 9.1
model-1585419085, 1585419876.573, 0.91, 8.96
model-1585419085, 1585419891.594, 0.91, 8.82
model-1585419085, 1585419907.893, 0.91, 8.68
model-1585419085, 1585419923.134, 0.91, 8.55
model-1585419085, 1585419938.327, 0.91, 8.43
model-1585419085, 1585419954.545, 0.92, 8.31
model-1585419085, 1585419962.558, 0.91, 8.24
model-1585419085, 1585419970.373, 0.92, 8.12
model-1585419085, 1585419985.129, 0.92, 8.01
model-1585419085, 1585419993.33, 0.92, 8.55
model-1585419085, 1585420001.317, 0.91, 8.85
model-1585419085, 1585420009.172, 0.91, 9.31
model-1585419085, 1585420017.051, 0.91, 9.19
model-1585419085, 1585420024.787, 0.91, 9.07
